STATIONS_ID;MESS_DATUM;QN_4;TT_TER;RF_TER;eor
       4336;2024040906;    9;   10.4;  80.0;eor
       4336;2024040912;    9;    9.4;  78.0;eor
       4336;2024040918;    9;   10.7;  55.0;eor
       4336;2024041006;    9;    4.4;  83.0;eor
       4336;2024041012;    9;   12.4;  47.0;eor
       4336;2024041018;    9;   11.7;  47.0;eor
       4336;2024041106;    9;    5.7;  76.0;eor
       4336;2024041112;    9;   13.4;  43.0;eor
       4336;2024041118;    9;   14.4;  49.0;eor
       4336;2024041206;    9;    7.5;  81.0;eor
       4336;2024041212;    9;   18.4;  57.0;eor
       4336;2024041218;    9;   17.1;  64.0;eor
       4336;2024041306;    9;   10.0;  94.0;eor
       4336;2024041312;    9;   20.9;  52.0;eor
       4336;2024041318;    9;   20.1;  58.0;eor
       4336;2024041406;    9;   11.9;  87.0;eor
       4336;2024041412;    9;   19.9;  50.0;eor
       4336;2024041418;    9;   17.8;  56.0;eor
       4336;2024041506;    9;    9.4;  88.0;eor
       4336;2024041512;    9;   14.6;  54.0;eor
       4336;2024041518;    9;    4.4;  89.0;eor
       4336;2024041606;    9;    4.4;  85.0;eor
       4336;2024041612;    9;    8.2;  76.0;eor
       4336;2024041618;    9;    4.8;  89.0;eor
       4336;2024041706;    9;    4.6;  93.0;eor
       4336;2024041712;    9;    6.3;  69.0;eor
       4336;2024041718;    9;    4.7;  78.0;eor
       4336;2024041806;    9;    2.8;  93.0;eor
       4336;2024041812;    9;    8.3;  63.0;eor
       4336;2024041818;    9;    8.7;  55.0;eor
       4336;2024041906;    9;    4.5;  86.0;eor
       4336;2024041912;    9;    5.5;  95.0;eor
       4336;2024041918;    9;    7.0;  88.0;eor
       4336;2024042006;    9;    4.1;  86.0;eor
       4336;2024042012;    9;    7.4;  76.0;eor
       4336;2024042018;    9;    6.7;  74.0;eor
       4336;2024042106;    9;    3.0;  81.0;eor
       4336;2024042112;    9;    5.2;  72.0;eor
       4336;2024042118;    9;    4.6;  72.0;eor
       4336;2024042206;    9;    2.0;  68.0;eor
       4336;2024042212;    9;    8.0;  45.0;eor
       4336;2024042218;    9;    4.4;  72.0;eor
       4336;2024042306;    9;    1.1;  77.0;eor
       4336;2024042312;    9;    9.0;  34.0;eor
       4336;2024042318;    9;    8.8;  42.0;eor
       4336;2024042406;    9;    2.5;  94.0;eor
       4336;2024042412;    9;    6.6;  65.0;eor
       4336;2024042418;    9;    5.4;  80.0;eor
       4336;2024042506;    9;    3.0;  90.0;eor
       4336;2024042512;    9;    6.4;  71.0;eor
       4336;2024042518;    9;    7.7;  60.0;eor
       4336;2024042606;    9;    5.6;  81.0;eor
       4336;2024042612;    9;   11.0;  66.0;eor
       4336;2024042618;    9;   10.8;  70.0;eor
       4336;2024042706;    9;    9.4;  77.0;eor
       4336;2024042712;    9;   16.8;  46.0;eor
       4336;2024042718;    9;   16.0;  50.0;eor
       4336;2024042806;    9;   10.2;  93.0;eor
       4336;2024042812;    9;   11.5;  80.0;eor
       4336;2024042818;    9;   11.9;  78.0;eor
       4336;2024042906;    9;    9.1;  90.0;eor
       4336;2024042912;    9;   15.5;  61.0;eor
       4336;2024042918;    9;   15.3;  63.0;eor
       4336;2024043006;    9;   11.6;  81.0;eor
       4336;2024043012;    9;   21.6;  48.0;eor
       4336;2024043018;    9;   21.8;  48.0;eor
       4336;2024050106;    9;   13.9;  82.0;eor
       4336;2024050112;    9;   23.9;  50.0;eor
       4336;2024050118;    9;   21.0;  55.0;eor
       4336;2024050206;    9;   13.3;  92.0;eor
       4336;2024050212;    9;   14.0;  85.0;eor
       4336;2024050218;    9;   11.3;  95.0;eor
       4336;2024050306;    9;    8.4;  94.0;eor
       4336;2024050312;    9;   13.4;  63.0;eor
       4336;2024050318;    9;   13.0;  56.0;eor
       4336;2024050406;    9;    7.7;  88.0;eor
       4336;2024050412;    9;   16.0;  51.0;eor
       4336;2024050418;    9;   13.4;  72.0;eor
       4336;2024050506;    9;   10.8;  96.0;eor
       4336;2024050512;    9;   14.9;  77.0;eor
       4336;2024050518;    9;   15.6;  85.0;eor
       4336;2024050606;    9;   12.7;  96.0;eor
       4336;2024050612;    9;   12.8;  95.0;eor
       4336;2024050618;    9;   12.4;  82.0;eor
       4336;2024050706;    9;    9.1;  99.0;eor
       4336;2024050712;    9;   14.9;  75.0;eor
       4336;2024050718;    9;   14.3;  64.0;eor
       4336;2024050806;    9;   11.2;  82.0;eor
       4336;2024050812;    9;   16.4;  49.0;eor
       4336;2024050818;    9;   15.4;  55.0;eor
       4336;2024050906;    9;   10.8;  84.0;eor
       4336;2024050912;    9;   18.6;  46.0;eor
       4336;2024050918;    9;   17.9;  46.0;eor
       4336;2024051006;    9;   12.0;  71.0;eor
       4336;2024051012;    9;   20.5;  42.0;eor
       4336;2024051018;    9;   19.5;  44.0;eor
       4336;2024051106;    9;   13.0;  68.0;eor
       4336;2024051112;    9;   21.6;  38.0;eor
       4336;2024051118;    9;   21.0;  43.0;eor
       4336;2024051206;    9;   14.6;  64.0;eor
       4336;2024051212;    9;   23.3;  38.0;eor
       4336;2024051218;    9;   21.1;  55.0;eor
       4336;2024051306;    9;   15.2;  86.0;eor
       4336;2024051312;    9;   20.8;  60.0;eor
       4336;2024051318;    9;   21.7;  53.0;eor
       4336;2024051406;    9;   15.7;  77.0;eor
       4336;2024051412;    9;   24.0;  49.0;eor
       4336;2024051418;    9;   19.0;  54.0;eor
       4336;2024051506;    9;   12.4;  95.0;eor
       4336;2024051512;    9;   14.8;  81.0;eor
       4336;2024051518;    9;   14.8;  91.0;eor
       4336;2024051606;    9;   11.8;  97.0;eor
       4336;2024051612;    9;   17.5;  63.0;eor
       4336;2024051618;    9;   15.6;  71.0;eor
       4336;2024051706;    9;   11.0;  98.0;eor
       4336;2024051712;    9;   11.5;  97.0;eor
